,subset,Pearson_DC_CS,Pearson_FL_CS,Pearson_DC_FL
0,Rice,"(-0.12266412941087877, 0.0)","(-0.2325595557977249, 0.0)","(0.6666764111111334, 0.0)"
1,Cream,"(0.06510137376210892, 0.0)","(0.005578571758108145, 7.945138871169697e-80)","(0.7337604892060714, 0.0)"
2,Pasta-Dinners,"(-0.235348387757698, 0.0)","(-0.19373090086337874, 0.0)","(0.5114224290604065, 0.0)"
3,Random,"(-0.2619208026977418, 0.0)","(-0.25041585104416486, 0.0)","(0.42290004319956287, 0.0)"
