Subset,count,mean,std,min,25%,50%,75%,max
Cream,11501292,0.321530289,0.190876419,0,0.188982237,0.283473355,0.40824829,1
Rice,14279009,0.365824451,0.226529406,0,0.196116135,0.316227766,0.487950036,1
Pasta-Dinners,13133577,0.457895878,0.182491105,0,0.321381992,0.46291005,0.593271909,1
Random,11796867,0.142704354,0.134949038,0,0.035533453,0.115001614,0.213996244,1
