Subset,count,mean,std,min,25%,50%,75%,max
Cream,11501292,34.89375032,29.15386819,0,12.0797437,27.79594309,50.73244344,179.8826515
Rice,14279009,45.71402852,34.25539628,0,16.87488889,41.96166667,69.03925,224.103
Pasta-Dinners,13133577,14.6854183,11.5861001,0,5.650230791,12.13193382,20.98862055,112.4084495
Random,11796867,28.54448673,25.21142436,0,10.07020617,21.85414474,39.70792407,282.25375
