Subset,count,mean,std,min,25%,50%,75%,max
Cream,5874,45.12075424,32.15760929,-47.81083333,26.13991173,41.89251225,64.965,132.0718182
Rice,6545,47.39651619,40.43126134,-81.53,14.53125,36.89681818,79.25833333,142.573
Pasta-Dinners,6277,30.3394857,13.22805599,-30.60888889,22.08933824,30.05678296,38.40350942,81.7995606
Random,5949,37.71471794,26.93256016,-132.58,24.18483705,37.02065789,51.94816176,149.67375
