Subset,count,mean,std,min,25%,50%,75%,max
Cream,5874,11.55425724,3.802671705,0,11.55984286,12.44306068,13.71677594,18.89091429
Rice,6545,10.76350016,4.361987411,0,8.937033333,11.5811,13.81740559,18.02135657
Pasta-Dinners,6277,13.78540275,1.067602685,7.257230481,13.14118041,13.93956168,14.50629291,17.87505556
Random,5949,12.61843688,2.833070815,0,11.56181111,12.80949228,14.08597488,19.4761
